1.00 0.000000
1.00 0.000400
1.00 0.000799
1.00 0.001197
1.00 0.001595
1.00 0.001992
1.00 0.002389
1.00 0.002785
1.00 0.003180
1.00 0.003575
1.00 0.003969
1.00 0.004362
1.00 0.004755
1.01 0.005147
1.01 0.005538
1.01 0.005929
1.01 0.006319
1.01 0.006709
1.01 0.007098
1.01 0.007487
1.01 0.007874
1.01 0.008261
1.01 0.008648
1.01 0.009034
1.01 0.009419
1.01 0.009804
1.01 0.010188
1.01 0.010571
1.01 0.010954
1.01 0.011337
1.01 0.011718
1.01 0.012099
1.01 0.012480
1.01 0.012860
1.01 0.013239
1.01 0.013617
1.01 0.013995
1.01 0.014373
1.02 0.014750
1.02 0.015126
1.02 0.015502
1.02 0.015877
1.02 0.016251
1.02 0.016625
1.02 0.016998
1.02 0.017371
1.02 0.017743
1.02 0.018114
1.02 0.018485
1.02 0.018856
1.02 0.019225
1.02 0.019594
1.02 0.019963
1.02 0.020331
1.02 0.020698
1.02 0.021065
1.02 0.021431
1.02 0.021797
1.02 0.022162
1.02 0.022526
1.02 0.022890
1.02 0.023254
1.02 0.023616
1.03 0.023979
1.03 0.024340
1.03 0.024701
1.03 0.025062
1.03 0.025422
1.03 0.025781
1.03 0.026140
1.03 0.026498
1.03 0.026856
1.03 0.027213
1.03 0.027569
1.03 0.027925
1.03 0.028281
1.03 0.028635
1.03 0.028990
1.03 0.029343
1.03 0.029696
1.03 0.030049
1.03 0.030401
1.03 0.030753
1.03 0.031104
1.03 0.031454
1.03 0.031804
1.03 0.032153
1.03 0.032502
1.04 0.032850
1.04 0.033198
1.04 0.033545
1.04 0.033891
1.04 0.034237
1.04 0.034583
1.04 0.034928
1.04 0.035272
1.04 0.035616
1.04 0.035959
1.04 0.036302
1.04 0.036644
1.04 0.036986
1.04 0.037327
1.04 0.037667
1.04 0.038007
1.04 0.038347
1.04 0.038686
1.04 0.039024
1.04 0.039362
1.04 0.039700
1.04 0.040037
1.04 0.040373
1.04 0.040709
1.04 0.041044
1.05 0.041379
1.05 0.041713
1.05 0.042047
1.05 0.042380
1.05 0.042713
1.05 0.043045
1.05 0.043377
1.05 0.043708
1.05 0.044038
1.05 0.044368
1.05 0.044698
1.05 0.045027
1.05 0.045356
1.05 0.045684
1.05 0.046011
1.05 0.046338
1.05 0.046665
1.05 0.046991
1.05 0.047316
1.05 0.047641
1.05 0.047965
1.05 0.048289
1.05 0.048613
1.05 0.048936
1.05 0.049258
1.06 0.049580
1.06 0.049902
1.06 0.050223
1.06 0.050543
1.06 0.050863
1.06 0.051182
1.06 0.051501
1.06 0.051820
1.06 0.052138
