0.000000 0.000000 100.000000
0.005000 4.876997 95.121753
0.010000 9.515782 90.479218
0.015000 13.927635 86.061115
0.020000 18.123299 81.856701
0.025000 22.113010 77.855742
0.030000 25.906516 74.048488
0.035000 29.513105 70.425651
0.040000 32.941625 66.978386
0.045000 36.200501 63.698266
0.050000 39.297761 60.577265
0.055000 42.241049 57.607739
0.060000 45.037647 54.782407
0.065000 47.694490 52.094334
0.070000 50.218183 49.536917
0.075000 52.615017 47.103864
0.080000 54.890983 44.789188
0.085000 57.051785 42.587182
0.090000 59.102857 40.492416
0.095000 61.049373 38.499717
0.100000 62.896259 36.604158
0.105000 64.648207 34.801049
0.110000 66.309685 33.085924
0.115000 67.884947 31.454532
0.120000 69.378042 29.902821
0.125000 70.792828 28.426939
0.130000 72.132975 27.023214
0.135000 73.401981 25.688152
0.140000 74.603174 24.418426
0.145000 75.739722 23.210869
0.150000 76.814643 22.062465
0.155000 77.830809 20.970345
0.160000 78.790953 19.931775
0.165000 79.697680 18.944156
0.170000 80.553467 18.005010
0.175000 81.360673 17.111981
0.180000 82.121542 16.262827
0.185000 82.838214 15.455411
0.190000 83.512722 14.687702
0.195000 84.147002 13.957765
0.200000 84.742899 13.263759
0.205000 85.302166 12.603932
0.210000 85.826474 11.976617
0.215000 86.317412 11.380227
0.220000 86.776493 10.813252
0.225000 87.205156 10.274254
0.230000 87.604773 9.761867
0.235000 87.976646 9.274788
0.240000 88.322018 8.811779
0.245000 88.642070 8.371663
0.250000 88.937925 7.953317
0.255000 89.210653 7.555676
0.260000 89.461274 7.177724
0.265000 89.690754 6.818496
0.270000 89.900018 6.477072
0.275000 90.089941 6.152578
0.280000 90.261360 5.844184
0.285000 90.415068 5.551098
0.290000 90.551821 5.272566
0.295000 90.672340 5.007874
0.300000 90.777309 4.756340
0.305000 90.867379 4.517317
0.310000 90.943170 4.290187
0.315000 91.005273 4.074365
0.320000 91.054249 3.869293
0.325000 91.090632 3.674441
0.330000 91.114931 3.489304
0.335000 91.127628 3.313403
0.340000 91.129186 3.146281
0.345000 91.120041 2.987504
0.350000 91.100611 2.836660
0.355000 91.071293 2.693356
0.360000 91.032464 2.557219
0.365000 90.984483 2.427893
0.370000 90.927693 2.305042
0.375000 90.862418 2.188344
0.380000 90.788969 2.077494
0.385000 90.707641 1.972203
0.390000 90.618713 1.872193
0.395000 90.522454 1.777202
0.400000 90.419117 1.686982
0.405000 90.308945 1.601295
0.410000 90.192168 1.519915
0.415000 90.069005 1.442627
0.420000 89.939664 1.369230
0.425000 89.804346 1.299527
0.430000 89.663239 1.233336
0.435000 89.516524 1.170480
0.440000 89.364372 1.110794
0.445000 89.206947 1.054120
0.450000 89.044404 1.000306
0.455000 88.876892 0.949211
0.460000 88.704553 0.900697
0.465000 88.527520 0.854637
0.470000 88.345923 0.810906
0.475000 88.159883 0.769389
0.480000 87.969518 0.729974
0.485000 87.774938 0.692557
0.490000 87.576249 0.657036
0.495000 87.373553 0.623318
0.500000 87.166946 0.591310
0.505000 86.956519 0.560929
0.510000 86.742361 0.532090
0.515000 86.524554 0.504718
0.520000 86.303180 0.478738
0.525000 86.078314 0.454080
0.530000 85.850029 0.430678
0.535000 85.618394 0.408469
0.540000 85.383477 0.387391
0.545000 85.145340 0.367389
0.550000 84.904045 0.348407
0.555000 84.659649 0.330395
0.560000 84.412208 0.313303
0.565000 84.161775 0.297085
0.570000 83.908400 0.281697
0.575000 83.652134 0.267097
0.580000 83.393021 0.253244
0.585000 83.131108 0.240101
0.590000 82.866436 0.227632
0.595000 82.599048 0.215802
0.600000 82.328981 0.204580
0.605000 82.056275 0.193935
0.610000 81.780966 0.183836
0.615000 81.503088 0.174257
0.620000 81.222675 0.165171
0.625000 80.939759 0.156553
0.630000 80.654372 0.148378
0.635000 80.366544 0.140626
0.640000 80.076303 0.133273
0.645000 79.783677 0.126299
0.650000 79.488693 0.119686
0.655000 79.191378 0.113415
0.660000 78.891755 0.107468
0.665000 78.589850 0.101829
0.670000 78.285685 0.096482
0.675000 77.979284 0.091411
0.680000 77.670668 0.086604
0.685000 77.359858 0.082046
0.690000 77.046876 0.077725
0.695000 76.731742 0.073628
0.700000 76.414474 0.069745
0.705000 76.095092 0.066063
0.710000 75.773615 0.062573
0.715000 75.450060 0.059265
0.720000 75.124444 0.056129
0.725000 74.796786 0.053157
0.730000 74.467101 0.050339
0.735000 74.135406 0.047669
0.740000 73.801717 0.045139
0.745000 73.466049 0.042741
0.750000 73.128418 0.040469
0.755000 72.788839 0.038315
0.760000 72.447327 0.036275
0.765000 72.103895 0.034341
0.770000 71.758558 0.032509
0.775000 71.411330 0.030773
0.780000 71.062225 0.029129
0.785000 70.711256 0.027571
0.790000 70.358437 0.026095
0.795000 70.003780 0.024696
0.800000 69.647299 0.023372
0.805000 69.289006 0.022117
0.810000 68.928914 0.020929
0.815000 68.567036 0.019803
0.820000 68.203383 0.018737
0.825000 67.837969 0.017728
0.830000 67.470804 0.016772
0.835000 67.101902 0.015866
0.840000 66.731274 0.015009
0.845000 66.358931 0.014197
0.850000 65.984886 0.013429
0.855000 65.609150 0.012701
0.860000 65.231735 0.012012
0.865000 64.852652 0.011359
0.870000 64.471913 0.010742
0.875000 64.089528 0.010157
0.880000 63.705510 0.009604
0.885000 63.319870 0.009080
0.890000 62.932618 0.008584
0.895000 62.543766 0.008115
0.900000 62.153326 0.007671
0.905000 61.761307 0.007251
0.910000 61.367722 0.006853
0.915000 60.972580 0.006477
0.920000 60.575894 0.006121
0.925000 60.177675 0.005784
